Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
0,25.04,100,4.65647596804247,10.1227738435706,1.25869060803765,1.2726389071319,0.0102629009605474,166.615394514389,165.791599907982,100
0,25.04,100,4.55740201127561,10.006469633453,1.25842694551195,1.27234213481075,0.010263382986932,166.720180456364,165.956358829264,101
0,25.04,100,4.4604360110357,9.89053202447047,1.25816866385413,1.27204606695333,0.0102638344229654,166.813799237671,166.109123154684,102
0,25.04,100,4.36553311718388,9.77499806673782,1.25791565325055,1.2717508030576,0.0102642556533905,166.896425876303,166.250058371281,103
0,25.04,100,4.27264943383954,9.65990306781114,1.25766780612867,1.27145643816809,0.0102646470674151,166.968236284098,166.379331872286,104
0,25.04,100,4.18174199907699,9.54528065006706,1.25742501711132,1.27116306301831,0.0102650090582816,167.029407105872,166.497112754648,105
0,25.04,100,4.09276876505408,9.43116280642898,1.25718718297188,1.27087076416923,0.0102653420228546,167.080115565554,166.603571624893,106
0,25.04,100,4.00568857856357,9.31757995448483,1.25695420259038,1.27057962414375,0.0102656463612239,167.120539319079,166.698880413025,107
0,25.04,100,3.92046116199838,9.2045609890397,1.25672597691055,1.27028972155751,0.0102659224763239,167.150856313821,166.783212194236,108
0,25.04,100,3.83704709472182,9.0921333331452,1.25650240889766,1.27000113124587,0.0102661707735678,167.171244654359,166.856741018153,109
0,25.04,100,3.75540779483413,8.98032298764683,1.25628340349727,1.2697139243874,0.0102663916604968,167.181882474361,166.919641745394,110
0,25.04,100,3.67550550132702,8.86915457928911,1.25606886759484,1.26942816862378,0.0102665855464434,167.18294781437,166.972089891188,111
0,25.04,100,3.59730325661793,8.75865140741758,1.25585870997615,1.26914392817636,0.0102667528422091,167.174618505317,167.014261475824,112
0,25.04,100,3.52076488945585,8.64883548931546,1.25565284128844,1.26886126395933,0.010266893959755,167.157072057546,167.046332881723,113
0,25.04,100,3.44585499819083,8.53972760421206,1.25545117400253,1.26858023368974,0.0102670093119051,167.13048555518,167.068480716887,114
0,25.04,100,3.37253893439953,8.43134733599885,1.25525362237551,1.26830089199427,0.0102670993120635,167.095035555636,167.080881684546,115
0,25.04,100,3.30078278685912,8.32371311468822,1.25506010241435,1.26802329051302,0.0102671643739423,167.050897994119,167.083712458764,116
0,25.04,100,3.23055336586212,8.2168422566493,1.25487053184015,1.26774747800028,0.0102672049113019,166.998248092921,167.077149565835,117
0,25.04,100,3.16181818786505,8.11075100365383,1.25468483005318,1.2674735004224,0.0102672213377032,166.937260275353,167.061369271252,118
0,25.04,100,3.09454546046367,8.00545456076471,1.25450291809859,1.26720140105284,0.0102672140662698,166.868108084167,167.036547472072,119
0,25.04,100,3.02870406768784,7.90096713309873,1.25432471863288,1.26693122056446,0.0102671835094618,166.790964104282,167.002859594491,120
0,25.04,100,2.96426355560938,7.79730196149424,1.25415015589096,1.2666629971191,0.0102671300788591,166.705999889694,166.960480496449,121
0,25.04,100,2.90119411825599,7.69447135711371,1.25397915565397,1.26639676645467,0.0102670541849559,166.613385894396,166.909584375098,122
0,25.04,100,2.83946658382501,7.59248673501036,1.25381164521774,1.26613256196955,0.0102669562369631,166.513291407177,166.850344678958,123
0,25.04,100,2.77905240119043,7.49135864668726,1.25364755336184,1.26587041480462,0.010266836642622,166.405884490163,166.782934024602,124
0,25.04,100,2.71992362669702,7.39109681167669,1.25348681031932,1.26561035392286,0.0102666958080254,166.29133192096,166.707524117714,125
0,25.04,100,2.66205291123538,7.29171014816649,1.25332934774706,1.26535240618661,0.0102665341374481,166.169799138263,166.624285678363,126
0,25.04,100,2.60541348759208,7.19320680269987,1.25317509869669,1.26509659643258,0.0102663520331864,166.041450190819,166.533388370343,127
0,25.04,100,2.54997915806884,7.09559417897417,1.25302399758611,1.26484294754458,0.0102661498954043,165.906447689608,166.435000734438,128
0,25.04,100,2.49572428236525,6.99887896576342,1.25287598017167,1.26459148052419,0.0102659281219892,165.764952763124,166.329290125472,129
0,25.04,100,2.44262376571918,6.90306716398899,1.25273098352079,1.26434221455924,0.0102656871084139,165.61712501565,166.216422653003,130
0,25.04,100,2.39065304729962,6.80816411296197,1.25258894598524,1.26409516709034,0.0102654272476068,165.4631224884,166.096563125532,131
0,25.04,100,2.33978808884644,6.71417451582022,1.2524498071749,1.26385035387534,0.0102651489298285,165.303101623432,165.969874998106,132
0,25.04,100,2.29000536355183,6.62110246418248,1.25231350793212,1.26360778905192,0.0102648525425561,165.137217230218,165.836520323171,133
0,25.04,100,2.24128184517839,6.5289514620414,1.25217999030654,1.26336748519831,0.010264538470373,164.965622454774,165.69665970458,134
0,25.04,100,2.19359499740864,6.43772444891666,1.25204919753046,1.2631294533921,0.0102642070948661,164.788468751249,165.550452254619,135
0,25.04,100,2.14692276342122,6.34742382228883,1.2519210739947,1.26289370326739,0.0102638587945288,164.605905855877,165.398055553945,136
0,25.04,100,2.10124355568885,6.2580514593342,1.25179556522499,1.2626602430701,0.0102634939446693,164.418081763196,165.239625614332,137
0,25.04,100,2.05653624599335,6.16960873798004,1.25167261785874,1.26242907971169,0.0102631129173258,164.225142704452,165.075316844104,138
0,25.04,100,2.01278015565306,6.08209655729947,1.25155217962241,1.2622002188212,0.0102627160811862,164.027233128094,164.905282016174,139
0,25.04,100,1.96995504595832,5.99551535726444,1.25143419930927,1.2619736647957,0.0102623038015137,163.824495682272,164.729672238558,140
0,25.04,100,1.92804110881027,5.90986513787495,1.25131862675762,1.26174942084918,0.010261876440077,163.617071199272,164.548636927301,141
0,25.04,100,1.88701895755898,5.82514547768209,1.25120541282948,1.26152748905999,0.0102614343550863,163.405098681789,164.362323781695,142
0,25.04,100,1.84686961803645,5.74135555172202,1.25109450938966,1.26130787041679,0.010260977901133,163.188715290973,164.170878761714,143
0,25.04,100,1.80757451978036,5.65849414887765,1.25098586928536,1.26109056486302,0.010260507429135,162.968056336178,163.974446067566,144
0,25.04,100,1.76911548744461,5.57655968868409,1.25087944632604,1.26087557134009,0.0102600232862853,162.743255266325,163.773168121288,145
0,25.04,100,1.73147473239259,5.49555023759388,1.25077519526384,1.26066288782916,0.010259525816006,162.514443662828,163.567185550295,146
0,25.04,100,1.69463484446935,5.41546352471726,1.25067307177435,1.2604525113916,0.0102590153579053,162.281751234007,163.356637172802,147
0,25.04,100,1.65857878394872,5.33629695705241,1.2505730324377,1.26024443820825,0.0102584922477396,162.045305810922,163.141659985043,148
0,25.04,100,1.62328987365194,5.25804763422042,1.25047503472017,1.26003866361739,0.0102579568173781,161.805233344571,162.922389150219,149
0,25.04,100,1.58875179123381,5.18071236271896,1.25037903695606,1.25983518215149,0.0102574093947721,161.561657904381,162.698957989089,150
0,25.04,100,1.55494856163309,5.10428766970864,1.25028499832998,1.25963398757286,0.010256850303927,161.314701677949,162.471497972147,151
0,25.04,100,1.52186454968345,5.02876981634533,1.25019287885955,1.25943507290812,0.0102562798648784,161.06448497196,162.240138713308,152
0,25.04,100,1.48948445288168,4.95415481067167,1.2501026393783,1.25923843048156,0.0102556983936706,160.811126214238,162.005007965038,153
0,25.04,100,1.45779329430973,4.8804384200804,1.25001424151913,1.25904405194744,0.0102551062023388,160.554741956871,161.766231614878,154
0,25.04,100,1.42677641570739,4.80761618336187,1.24992764769789,1.25885192832131,0.0102545035988942,160.295446880362,161.523933683277,155
