Meal_size,Steady_insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
10,25.04,100,0.942232587287723,2.22800839936479,1.24682774251533,1.24815542176561,0.0101108537694541,123.013369240588,122.934931754133,110.9
10,25.04,100,0.940227837102004,2.2252727061476,1.2468255861924,1.24815259691614,0.0101108529269097,123.013666210993,122.936500503862,111
10,25.04,100,0.938227352342213,2.22253856812836,1.24682343427013,1.24814977348907,0.0101108520610043,123.013939819749,122.938043818005,111.1
10,25.04,100,0.936231123932974,2.21980599107349,1.24682128673953,1.24814695149073,0.0101108511717748,123.014190108981,122.93956173804,111.2
10,25.04,100,0.934239142818223,2.21707498071787,1.24681914359165,1.24814413092743,0.0101108502592583,123.014417120812,122.941054305459,111.3
10,25.04,100,0.932251399961163,2.2143455427649,1.24681700481754,1.24814131180544,0.0101108493234916,123.01462089736,122.942521561766,111.4
10,25.04,100,0.930267886344224,2.21161768288659,1.24681487040828,1.24813849413099,0.0101108483645118,123.01480148074,122.943963548478,111.5
10,25.04,100,0.928288592969024,2.20889140672373,1.24681274035495,1.24813567791031,0.0101108473823561,123.014958913062,122.945380307123,111.6
10,25.04,100,0.926313510856324,2.20616671988596,1.24681061464868,1.24813286314955,0.0101108463770613,123.015093236429,122.946771879242,111.7
10,25.04,100,0.924342631045991,2.20344362795185,1.24680849328057,1.24813004985487,0.0101108453486646,123.015204492941,122.948138306385,111.8
10,25.04,100,0.922375944596957,2.20072213646907,1.24680637624179,1.24812723803237,0.0101108442972031,123.015292724693,122.949479630116,111.9
10,25.04,100,0.920413442587176,2.19800225095445,1.2468042635235,1.24812442768813,0.0101108432227138,123.015357973773,122.950795892008,112
10,25.04,100,0.918455116113587,2.1952839768941,1.24680215511688,1.24812161882821,0.0101108421252339,123.015400282263,122.952087133643,112.1
10,25.04,100,0.916500956292068,2.1925673197435,1.24680005101313,1.24811881145861,0.0101108410048004,123.015419692241,122.953353396616,112.2
10,25.04,100,0.914550954257404,2.18985228492765,1.24679795120347,1.24811600558532,0.0101108398614505,123.015416245776,122.954594722528,112.3
10,25.04,100,0.91260510116324,2.18713887784111,1.24679585567913,1.2481132012143,0.0101108386952213,123.015389984932,122.955811152993,112.4
10,25.04,100,0.910663388182041,2.18442710384818,1.24679376443137,1.24811039835146,0.01011083750615,123.015340951765,122.957002729632,112.5
10,25.04,100,0.908725806505058,2.18171696828293,1.24679167745147,1.24810759700269,0.0101108362942737,123.015269188326,122.958169494075,112.6
10,25.04,100,0.906792347342281,2.17900847644936,1.24678959473071,1.24810479717386,0.0101108350596296,123.015174736655,122.95931148796,112.7
10,25.04,100,0.904863001922404,2.17630163362148,1.2467875162604,1.24810199887079,0.010110833802255,123.015057638788,122.960428752934,112.8
